Title,Subtitle,Ingredients,Cooking tools,Instructions
Stuffed Sweet Potato (NF),Prep+Cooking time: 45 mins  Servings: 2,2 medium sweet potatoes 1 portobello mushroom ½ to ¾ cup bread crumbs ⅓ cup vegan mayo  1 small celery stalk ⅓ cup fine chopped red onion ¼ tsp garlic granules ¼-½ tsp salt  OPTIONAL TO MAKE YOUR OWN...  HV Mayo HV Almond Bread Crumbs ,Baking Sheet Parchment Paper Well Seasoned Cast Iron Skillet ,"BAKE THE SWEET POTATOES Pierce sweet potatoes with fork or knife and bake for 1 hour, or until fully cooked. COOK THE MUSHROOMS Prepare portobello mushrooms by using “pressing” technique shown in the video, or alternatively, chop and water sauté. Add salt pepper and garlic granules to taste. PREPARE THE STUFFING Prepare stuffing by combining breadcrumbs, mayo, celery, red onion, garlic granules, and salt. Mix until combined. If too dry add a little more mayo, if too wet add more breadcrumbs. When sweet potatoes are cooled enough to handle, slip the top of the skin where you will add the filling. Scoop to remove some sweet potato to create a cavity. Add the removed sweet potato to the filling mixture and mix to combine. Add the filling to the sweet potato cavity. Top with sliced portobello mushroom. Drizzle cheese sauce over top. Enjoy! "
Veggie Ground Pizza,Prep+Cooking time: 45 mins  Servings: 2,"1 1/3 cup almond flour 1 cup arrowroot starch 1 tbsp flaxseed meal 1 tsp baking soda 1 tsp Italian seasoning 1/2 tsp garlic powder 3/4 tsp sea salt 1 tbsp apple cider vinegar 1 tbsp nut/seed butter 7-8 tbsp water (add more as needed) TOPPINGS 1 cup oil-free, refined-sugar-free tomato sauce ¼ of a red onion ½ red pepper ¼ cup  mushrooms ¼ olives 1 cup vegan cheese 1 cup Veggie Ground Note: Sub applesauce for nut or seed butter OPTIONAL TO MAKE YOUR OWN… HV Cheese or Cheese Sauce HV Tomato Sauce ",Well Seasoned Cast Iron Pan Parchment Paper PIzza Pan or Large Baking Sheet Mixing Bowls ,"PREPARE THE VEGGIES Add a 1-2 tbsp of water to your skillet and add your veggies. Sautee on medium heat until soft. PREPARE THE CRUST Mix dry ingredients. In a separate bowl mix wet ingredients. Add wet ingredients to dry ingredients and mix with a wooden spoon until combined, Press or roll out until less than ¼ inch thick. Thinner is better with this crust. Par-bake at 375 for 10 minutes. PUT IT TOGETHER Top the pizza crust with the oil-free, sugar-free tomato sauce of your choice. Top with sauteed onions, peppers, mushrooms, olives, and vegan cheese. Bake for 15-20 minutes. Do not overbake. Enjoy! "
No-Turkey and Gravy (NF),Prep+Cooking time: 20 mins  Servings: 4,"2 lbs of Oyster  ¼ cup coconut aminos 2 tsp dried thyme 2 tsp dried rosemary 1 tsp oregano 1 tsp sage ½ tsp garlic granules 1/2 tsp paprika ¼ tsp black pepper 1 ½ tsp salt *** If you are unable to find these mushrooms at your local health food store or Whole Foods, check your local Asian/International market or farmer’s market. Note: Sub  King/Trumpet oyster mushrooms for oyster mushrooms. For MUSHROOM FREE sub jackfruit for oyster mushrooms. Simple Gravy 2 cups low vegetable broth 3 tbsp coconut aminos 1 tsp garlic granules 1 tsp onion granules 2 tsp dried rosemary 2 tsp dried thyme 1 tsp dried sage 1 ½ tbsp arrowroot powder 2 tbsp nutritional yeast ",Well Seasoned Cast Iron Pan Saucepan ,PREPARE THE GRAVY Add ½ cup of broth to your pan and bring to a gentle simmer. Add spices and nutritional yeast. Whisk and allow to cook for 1 minute. Add the rest of the broth and tamari/coconut aminos and simmer for 3-5 minutes. Mix arrowroot in a couple of tbsp of water into a smooth paste/ liquid. Pour arrowroot into the broth. Whisk well and allow to thicken. If you prefer thicker gravy you can add more arrowroot and water mixture. PREPARE THE “NO TURKEY” Begin by preparing your mushrooms: Oyster: Cut each petal off of “core” at the base of the stem. Pull apart lengthwise. King/Trumpet Oyster: Use a fork to shred lengthwise. Jackfruit: Pulse in a food processor just until shredded (don’t over-process). Add shredded mushrooms or jackfruit to a cast iron skillet on medium low until water starts to release. (For jackfruit add ¼ cup of water) Increase heat to medium high. Cook until most of the water has evaporated (5-10 minutes) Add coconut aminos and spices and mix. Allow mushrooms to brown slightly. If your mushrooms are sticking turn the heat down and add a very small amount of water. Mushrooms should be nicely cooked and have some light golden spots on them when they are done. Enjoy! 
Jamaican-Style Sweet Potato and Chickpea Curry (NF),Prep+Cooking time: 45 mins  Servings: 6,2 ½ cups chickpeas (approx. 2 cans) 2 ½ tbsp curry powder 3 cloves garlic minced 1 small yellow onion diced 1 jalapeño 1 tsp ground allspice 1 tsp dried thyme 1/2 tsp turmeric powder 2 1/2 tsp salt  2-4 cups vegetable broth Note: Vegetable broth can be subbed with water. ,Knife Saute Pan or Pot ,"Add ¼ cup of water to the pan and heat on medium-high. Add onions and saute for 2-3 minutes. Add minced garlic and jalapeno. Saute for an additional 2-3 minutes. Add water as necessary. Add dry spices. Saute momentarily. Add sweet potatoes. Mix to coat potatoes in spices. 2 cups of water. Cover and simmer for 15-20 minutes or until potatoes are soft and breaking slightly (do not overcook). Add chickpeas and simmer for 2-3 minutes. You can add more water in small amounts if necessary. As the potatoes break down slightly the sauce will thicken. Sweet potatoes cook quicker than white potatoes, so take care not to overcook them. You want them to be well-cooked, but still have substance. This curry should be thick and saucy. Allow to sit and thicken slightly before eating. Enjoy! "
Pumpkin Soup w/Veggie Ground Ravioli (NF Option),Prep+Cooking time: 1 hour  Servings: 4,2 ½ lbs pumpkin ½ a medium onion diced 1 bulb of roasted garlic 2 tbsp fresh thyme* ¼ tsp cinnamon 3 ½ cups vegetable broth ¼ cup cashews* 3 dates 2 tsp salt Ravioli Dough 1 cup chickpea flour 2 tsp whole psyllium husks ½ cup arrowroot powder 1 tsp ground flax ½ tsp of salt ⅓-½ cup water Filling 1 1/2 cups of veggies ground 2 tbsp of chickpea flour Note: Sub 2 tsp dry thyme for fresh thyme Sub ½ cup of coconut milk for cashews  ,Pasta Maker OR Rolling PIn  Parchment Paper Baking Sheet 2-3 inch cookie cutter Pot  ,"PREPARE THE PUMPKIN Cut the pumpkin in half and remove all the seeds. Place on a parchment lined baking sheet and bake at 375 for 30 minutes or until a knife inserts easily. PREPARE SOUP Sauté onions in a small amount of broth until soft. Roast garlic bulb by baking at 400F for 15-20 or until soft and slightly golden in some areas. Remove the skin of the cooked pumpkin and add to a blender along with sautéed onions, garlic bulb (skins removed), and all the ingredients except for thyme. Blend until smooth. PREPARE RAVIOLI FILLING Combine veggie ground and chickpea flour in a bowl and set aside. PREPARE RAVIOLI DOUGH Combine dry ingredients in a bowl. Gradually mix and add water until dough forms. The dough should be a soft play dough-like consistency. Set in a bowl and cover with a damp towel. ASSEMBLE THE RAVIOLI Using a rolling pin or pasta maker, roll the dough out to 2mm in thickness. Using a cookie cutter or other round tool cut 2-inch circles. Add a small amount of veggie ground filling to the center of half of your circles. Use your finger to rub water around the edge of the circle and place another circle on top. Pinch around the circumference of the circle to seal. Repeat to complete all your ravioli. Make sure to keep a damp paper towel over the top of the dough and completed ravioli as you work, so they don’t dry out. Bring a pot of water to a boil. Add your ravioli to the pot and simmer for 5-10 minutes, or until all the ravioli floats to the top of the water. FINISH IT UP Finally, add soup to a pot and heat. Add thyme and ravioli. Stir gently and garnish with extra cream and fresh thyme. Enjoy! "
Pumpkin Ravioli w/Cream Sauce (NF option),Prep+Cooking time: 1 hour  Servings: 2,Sauce 1 cup raw cashews ( soaked min. 2 hours) 1 cup vegetable broth 1 bulb roasted garlic (skins removed) ½ tsp salt  2 tbsp fresh thyme Dough 1 cup chickpea flour 2 tsp psyllium husks ½ cup arrowroot powder 1 tbsp ground flax ½ tsp of salt ⅓-½ cup water Filling 1 ½ cup pumpkin purée ½ cup vegan ricotta ¼ tsp garlic granules ⅛ tsp pepper ¼ tsp ground cinnamon ½ tsp salt  NF Option  Note: Sub 2 tsp dried thyme for fresh thyme OPTIONAL TO MAKE YOUR OWN...  HV Ricotta  ,High-Speed Blender Mixing Bowls Pasta Maker OR Rolling Pin  Parchment Paper 2-3 inch cookie cutter Pot  ,"PREPARE THE SAUCE Combine all ingredients except for thyme in a high-speed blender. Blend until smooth. Add to saucepan and heat and add thyme. PREPARE THE FILLING Combine all the ingredients in a mixing bowl. PREPARE THE DOUGH Combine dry ingredients in a bowl. Gradually mix and add water until the dough comes together. The dough should be a soft playdough-like consistency. It’s okay if it’s slightly sticky, it shouldn’t remain sticky after it has rested for 15 minutes. Set in a bowl and cover with a damp towel. Using a rolling pin or pasta maker, roll the dough out to 2mm in thickness. Using a cookie cutter or other round tool cut 3-inch circles. Add filling to the center of half of your circles. Use your finger to rub water around the edge of the dough circle and place another dough circle on top. Pinch around the circumference of the ravioli to seal. Repeat to complete all your ravioli. Make sure to keep a damp paper towel over the top of the dough and completed ravioli as you work, so they don’t dry out. Bring a pot of water to a boil. Add your ravioli to the pot and simmer for 5-10 minutes or until all the ravioli float to the top of the water. Add ravioli to your serving plate, drizzle sauce over top and garnish with fresh thyme. Enjoy! "
Hawaiian Pizza,Prep+Cooking time: 45 minutes  Servings: 2,1 1/3 cup almond flour 1 cup arrowroot starch 1 Tbsp flaxseed meal 1 tsp baking soda 1 tsp Italian seasoning 1/2 tsp garlic powder 3/4 tsp sea salt 1 tbsp apple cider vinegar 1 tbsp nut/seed butter 7-8 tbsp water (add more as needed) TOPPINGS 1 cup tomato sauce 1 cup of pineapple pieces ¼ cup olives 1 cup vegan cheese BBQ Jackfruit 2 cans jackfruit BBQ sauce (unsweetened and oil-free) ¼ tsp pepper 1 tsp garlic granules ½ tsp fennel powder OPTIONA TO MAKE YOUR OWN… HV Cheese Sauce HV Cherry BBQ Sauce HV Simple Tomato Sauce Note: Sub applesauce fro nut or seed butter ,Parchment Paper PIzza Pan or Large Baking Sheet Mixing Bowls Saute Pan ,"PREPARE BBQ JACKFRUIT Rough chop jackfruit to the desired size. Add jackfruit to pan and cook on medium heat for 1-2 minutes or until moisture cooks off. Add BBQ sauce, garlic, pepper, and fennel. Mix and cook on medium heat for 5-7 minutes or until sauce is fragrant and thickens. PREPARE THE CRUST Mix dry ingredients. In a separate bowl mix wet ingredients. Add wet ingredients to dry ingredients and mix with a spoon until combined, Press or roll out until less than ¼ inch thick. Thinner is better with this crust. Par-bake at 375 for 10 minutes. TOP THE PIZZA Top pizza crust with oil-free, sugar-free tomato sauce of your choice. Top with BBQ jackfruit, pineapple, olives, and vegan cheese. Bake for 15-20 minutes. Do not overbake. Enjoy! "
Pasta w/ Veggie Ground Sauce ,Prep+Cooking time: 45 minutes  Servings: 2,"200g box of wheat-free, rice-free pasta Sauce 24 oz jar of tomato puree 2 cloves of crushed garlic minced 2 tsp dried basil ½ tsp oregano ½ tsp Salt Pepper 2-3 cups Veggie Ground Vegan cheese OPTIONAL TO MAKE YOUR OWN...  HV Cheese Sauce Preparing the Pasta Sauce Add a small amount of water (2-3 tbsp) to a saucepan. Heat on medium until water is simmering. Add garlic and let simmer for a couple of minutes. Add tomato purée and seasoning. Simmer for 20 minutes. Add veggie Ground to heated pasta sauce. Add to your cooked pasta. Top with vegan cheese sauce. Enjoy! Your choice of chickpea, lentil, or mung pasta (look for a brand that doesn’t contain wheat or rice) Jerk Eggplant ",-1,-1
Jerk Eggplant,Prep+Cooking time: 50 mins  Servings: 2,"1 Large Eggplant Jerk Sauce:  5 green onions 3 garlic cloves 1-inch ginger 1.5 tsp allspice 1.5 tsp thyme ½ tsp cinnamon ¼ tsp nutmeg ¼ cup coconut aminos ½ cup unsweetened pineapple juice 6-8 soft Medjool dates ¼ cup water 1 scotch bonnet 1 lime juiced. Add salt as needed  Note: Adjust hot pepper as desired. Sub habanero, jalapeno, or serrano pepper for scotch bonnet. ",High-Speed Blender Baking Sheet Parchment Paper ,PREPARE THE JERK SAUCE Add all ingredients to a high-speed blender. Blend until smooth. PREPARE THE EGGPLANT Prepare eggplant by cutting lengthwise into ¾ inch slices. Bake eggplant at 350 on a parchment-lined baking sheet for 15 minutes on each side or until eggplant is soft and browning slightly. FINISH IT UP Remove eggplant and brush generously with jerk sauce. Return the eggplant to the oven and continue to cook for an additional 7-10 minutes. Add extra sauce as desired Enjoy! 
Swiss Chard and Chickpeas Stir Fry ,Prep+Cooking time: 50 mins  Servings: 2,1 bunch swiss chard cleaned and chopped ½ bunch collards cleaned and chopped ¼ cup low-sodium vegetable broth 2 finely chopped shallots 4 cloves minced garlic 1 tbsp lemon juice 2 Roma tomatoes diced ¼ tsp black pepper 1 tsp garlic granules 1 ½ cups chickpeas 1 tsp salt  Quick Vegan Feta 1 brick of firm tofu ¼ cup nutritional yeast Salt and pepper to your taste OPTIONAL TO MAKE YOUR OWN… HV Mung Fu ,Knife Saute Pan Mixing Bowl ,"Heat broth in a pan. Add shallots and minced garlic and cook for 2-3 minutes on medium-high. Add tomatoes and cook for 5 minutes or until soft. Add chopped greens and cook until tender. Add garlic granules, pepper salt, and chickpeas. Cook for 1-2 minutes and remove from heat. In a bowl, crumble tofu. Add nutritional yeast, salt, and pepper. Mix to combine. Add to serving dish and top with feta. Enjoy! "
Stuffed Collard Rolls (NF Option),Prep+Cooking time: 50 mins  Servings: 2,½ cup low-sodium vegetable broth 1 cup of cooked millet 4 tbsp tomato paste 2 minced shallots 2 cloves minced garlic 8 oz mushrooms 2 Roma tomatoes 1 tsp paprika 1 tsp parsley ½ tsp oregano ¼ tsp black pepper 1 tsp garlic granules 1 tsp salt  ½ cup raisins ½ cup chopped pecans (use sunflower seeds for nut free) 1 cup oil-free tomato sauce OPTIONAL TO MAKE YOUR OWN...  HV Simple Tomato Sauce ,Knife Saute Pan ,"PREPARE THE FILLING Heat broth on medium-high heat. Add minced shallots and garlic. Saute 2-3 minutes. Add diced tomatoes, mushrooms, and remaining seasoning. Cook another 3-5 minutes. Add cooked millet and tomato paste. Cook for 3-5 minutes.  Turn off the heat and add raisins and chopped pecans. Set aside. PREPARE THE COLLARDS Wash and cut collards into appropriate size pieces. Bring water to a boil.  Submerge 2 pieces of collards in boiling water until soft, but do not overcook (3-5 minutes) Remove and set aside. ASSEMBLE THE ROLLS Assemble your rolls by placing 2-3 tablespoons of filling in your collard leaf and roll as viewed in the video. Repeat until all your rolls are stuffed. Drizzle with oil-free, refined sugar-free tomato sauce of choice.  Enjoy! "
Orange Tofu ,Prep+Cooking time: 50 mins  Servings: 2,Tofu: 30 oz Firm Tofu 4 tbsp coconut aminos ½ tsp Chinese five spice Sauce: ¾ cup orange juice 2 tbsp lemon juice 3 tbsp Apple Cider Vinegar ¼ cup coconut aminos 2 tsp orange zest ¼ cup date syrup  3 cloves garlic 2 tsp fresh grated ginger ¼ tsp chili flakes 2 tsp arrowroot powder Salt to taste Note: Sub  ⅓ cup date paste for date syrup ,Saucepan Baking Sheet Parchment Paper Mixing Bowl ,"PREPARE THE TOFU Press tofu for 1 hour to remove excess water. Combine tofu with tamari and Chinese five-spice.  Toss and spread on a cookie sheet.  Bake at 425 for 30 minutes.  Flipping halfway through cooking. PREPARE THE SAUCE While tofu is baking, combine sauce ingredients in a saucepan over medium heat. Combine arrowroot or tapioca powder with a small amount of cold water.  Add to the hot sauce and whisk until the sauce thickens.  Pour sauce over tofu and mix. Enjoy! "
Creamy Mushroom Lentil Soup(NF Option),Prep+Cooking time: 50  minutes Servings: 3,"8 ounces white mushrooms 16 oz shiitake mushrooms 1 cup leeks ½ red onion diced ½ cup diced celery 1 ½ cups dry lentils 6 cups of water ½ tsp sage 2 tsp Italian seasoning 2 tsp garlic 3 tsp salt 2 tsp ground flax 1 cup cashew cream  Pepper Notes: Cashew cream can be made by blending ½ cup of soaked raw cashews with 1 cup of water until smooth.  For nut-free, sub coconut milk for cashew cream. ",Knife  Pot ,"PREPARE THE SOUP Sautée leeks, red onion, and celery in 4 tablespoons of water for 3-5 minutes, or until soft. Add mushrooms and cook until soft. ADD LENTILS Add dry lentils and 6 cups of water. Bring to a boil. Once it starts boiling, reduce the heat to a simmer. Cover and allow to cook on low for 15-25 minutes or until lentils are soft.  FINISH AND SERVE Add seasonings, ground flax, and cream, cook for an additional 5-7 minutes. Serve and enjoy! "
Tomato-Vegetable Soup (NF),Prep+Cooking time: 50  minutes Servings: 4,"1 quart of low sodium vegetable broth 1 small yellow onion 4 cloves garlic 7 oz jar of tomato paste 18.3 oz diced or pureed tomatoes 3 cups diced celery 1 1/2 cups diced carrots 2 small red potatoes diced 1 cup chopped green beans ½ a bunch kale 1 tbsp Italian 1 tbsp basil 1 tsp oregano 1 tbsp parsley 1 bay leaf 2 tsp salt 3 tbsp date paste Optiona ½ cup cashew cream ½ a lemon juiced Notes: Cashew cream can be made by blending ½ cup of soaked raw cashews with 1 cup of water until smooth. For nut-free, sub coconut milk for cashew cream. ",Knife  Pot ,"PREPARE THE SOUP Begin by adding a small amount of water or vegetable broth to your soup pot. On medium heat, sauté onions, garlic, and celery for 5-7 minutes. Add a little water or broth as necessary to prevent sticking. ADD THE VEGGIES Add potatoes, carrots, and green beans. Sauté for 3-5 minutes. Add tomato purée, tomato paste, date paste, and all seasoning except for parsley. Stir to combine. Keep stirring to prevent sticking. Continue to stir while the tomatoes and veggies cook for 3 minutes. ADD THE BROTH Add vegetable broth. Cover and simmer for 15-20 minutes or until veggies are done. Add kale and stir. FINISH AND SERVE Stir in cashew or coconut cream. Add parsley, salt, black pepper, and lemon juice. Mix and simmer for a few minutes. Enjoy! SALADS AND BOWLS "
Chaat Masala Salad,Prep+Cooking time: 20 minutes Servings: 2,½ an English cucumber ½ small red onion 1 avocado 1-pint cherry tomatoes 2 ataulfo mangos 15 oz chickpeas 1 bunch of cilantro chopped Juice of 1 lime 2 tbsp chat masala Optional: Eat with Date Tamarind Chutney ,Mixing bowl Knife ,Combine all the ingredients in a mixing bowl. Enjoy! 
Portobello-Steak and Ranch Salad (NF Option),Prep+Cooking time: 30 minutes  Servings: 1,2 large portobello caps 1 tsp sage ½ tsp garlic granules ½ tsp onion granules ¼ tsp pepper ½ tsp paprika 1 tsp salt Ranch Dressing: 1/4 cup hemp seeds 1/2 cup raw cashews (soaked for min. 2 hours) 1/2 cup water 1 tbsp apple cider vinegar 1/2 tsp salt 1/2 tsp garlic granules 1/2 tsp onion granules 2 tsp dried dill 1 soft Medjool date Nut-Free Option- Sub 1/4 cup hemp seeds (or sunflower) and 1/4 cup cannellini beans for cashews VEGGIES 2 cups mixed greens ½ pint cherry tomatoes halved ⅓ cup sliced bell peppers ¼ cup sliced red onions ¼ cup olives ,High-speed blender Cast Iron Skillet Burger press or heavy-weight pan ,"PREPARE THE DRESSING Combine all ingredients in a high-speed blender. Blend until smooth. PREPARE THE MUSHROOMS Prepare 2 large portobello caps using the pressing technique shown in the video. Combine spices for the dry rub. Once the portobello caps are cooked, rub on the seasoning. Add back to the pan briefly, taking care not to burn spices. FINISH AND SERVE Slice portobello mushrooms into strips. Combine vegetables for salad. Top with portobello mushrooms and ranch dressing. Enjoy! "
Millet Tabbouleh,Prep+Cooking time: 20 minutes  Servings: 4,1.5 cups cooked millet 2 small diced tomatoes 1 tsp salt 1 medium bunch of parsley chopped fine 3 tablespoons lemon juice 1 clove of minced garlic ½ cup finely chopped green onion ,Knife ,Cook millet and combine in a bowl with the remaining ingredients. Mix to combine.  Enjoy! 
Mexican-Style Bean Bowl,Prep+Cooking time: 30 minutes  Servings: 2,MEXICAN-STYLE BEANS ½ cup Kidney Beans ½ cup Pinto Beans ½ cup Navy Beans ¼ tsp paprika ¼ tsp smoked paprika ¼ tsp garlic granules ¼ tsp cumin powder ⅛ tsp cinnamon powder Pinch cayenne Salt to taste. VEGGIES 2 cups chopped lettuce 1 cup organic sweet corn 1 cup cherry tomatoes 2 cups cooked quinoa ½ cup vegan cheese sauce 1 cup guacamole OPTIONAL TO MAKE YOUR OWN...  HV Cheese Sauce HV Gaucamole ,Knife Mixing Bowl ,"PREPARE THE BEANS Combine beans and spices in a bowl and set aside.  ASSEMBLE THE BOWL Start with a base of cooked millet or quinoa, spiced Mexican beans, guacamole, corn, tomatoes, and lettuce, or your choice of toppings. Pour cheese sauce over top.  "
Enjoy!,Portobello Steak and Cheese Bowl Prep+Cooking time: 30 minutes  Servings: 2,2 cups cooked quinoa Vegan cheese sauce MUSHROOMS 12 oz portobello caps 1 tsp garlic granules ½ tsp salt Pepper to taste VEGGIES 2 small cooked sweet potatoes 1 cup steamed green beans 1 cup steamed brussel sprouts in halves  ½ cup caramelized onions OPTIONAL TO MAKE YOUR OWN...  HV Cheese Sauce ,Knife Cast Iron Skillet Burger Press or Heavy Skillet for pressing ,"PREPARE THE MUSHROOMS Prepare portobello caps by using the pressing technique shown in the video. Add salt, pepper, and garlic granules to taste. Slice into strips. PREPARE THE VEGGIES Peel, cut, and cook the sweet potatoes. Clean and steam green beans and brussel sprouts, and caramelize some onions. ASSEMBLING THE BOWL In a bowl add cooked quinoa, sweet potatoes, green beans, caramelized onions, and cooked and seasoned portobello steaks. Top with vegan cheese sauce. Enjoy! "
No-Chick’n Caesar Bowl (NF Option),Prep+Cooking time: 30 minutes  Servings: 2,12oz fresh oyster mushrooms 1 tsp parsley 1/4 tsp thyme 1/4 tsp oregano 1/2 tsp smoked paprika 1/2 tsp garlic powder 1/4 tsp onion 1/4 tsp mustard Salt to taste Caesar Dressing: 1/2 cup cashews 1/4 cup + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 pitted Medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley OPTIONAL Nut-free Caesar Dressing ½ cup raw hemp seeds (or sunflower seeds) 1/4 + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley VEGGIES 2 cups chopped lettuce ½ cup grated carrot ½ cup shredded cabbage ¾ cup cherry tomatoes 2 cups cooked quinoa  ,Knife Cast Iron Skillet ,PREPARE THE DRESSING Combine all ingredients in a high-speed blender. Blend until smooth. PREPARE THE MUSHROOMS Add mushrooms to the pan on medium-high heat. Cook until water from mushrooms begins to release. Add seasonings and continue to cook until the water has cooked off and mushrooms begin to brown on some spots. ASSEMBLE THE BOWL Cook quinoa and add to a large bowl. Top with veggie chicken and veggies. Pour the Caesar dressing on top.  Enjoy! 
Super 7 Salad,Prep+Cooking time: 45 minutes  Servings: 2,1 cup finely chopped kale 1 cup cooked chickpeas 1 cup cherry tomatoes halved 1 cup grated carrots ½ cup diced onions 1 cup cooked mushrooms of choice ½ cup Pomegranate seeds 2 tbsp Hemp Hearts Raspberry Vinaigrette 1/4 cup fresh or frozen raspberries 6 tbsp balsamic vinegar 6 tbsp water 1/4 cup walnuts 2 soft Medjool dates ,Knife High-Speed Blender ,PREPARE THE DRESSING Combine ingredients in high-speed blender. Blend until smooth. Enjoy! PREPARE THE SALAD Chop and mix salad ingredients.  PUT IT TOGETHER Sprinkle hemp seeds and pomegranate seeds over top. Drizzle with raspberry vinaigrette. Enjoy! 
No-Chick’n Caesar Salad (NF Option),Prep+Cooking time: 20  minutes  Servings: 2,Veggies Half a head of Romain lettuce Half a head of Red leaf lettuce ½ a red pepper diced ½ pint cherry tomatoes halved Oyster Mushroom Chick”n” 12 oz oyster mushrooms (cut into pieces) 1 tsp parsley 1/4 tsp thyme 1/4 tsp oregano 1/2 tsp smoked paprika 1/2 tsp garlic powder 1/4 tsp onion 1/4 tsp mustard Salt to taste. Caesar Dressing 1/2 cup raw cashews (soaked for min. 2 hours) 1/4 + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 pitted Medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley OPTIONAL Nut-free Caesar Dressing ½ cup raw sunflower seeds 1/4 + 3 tablespoons water 2 tbsp lemon juice 2 tbsp nutritional yeast 1/4 tsp dulse flakes 2 cloves garlic 1 medjool date 1/4 tsp pepper 1 tsp salt 1/2 tsp parsley ½ cup Almond Breadcrumbs OPTIONAL TO MAKE YOUR OWN...  HV Breadcrumbs ,High-Speed Blender Mixing Bowl ,"PREPARE THE SALAD DRESSING Combine all the ingredients in a blender and blend until smooth. PREPARE THE MUSHROOMS Add mushrooms to pan on medium-high heat. Cook until water from mushrooms begins to release. Add seasonings and continue to cook until water has cooked off and mushrooms begin to brown on some spots. ASSEMBLING THE SALAD Combine veggies, mushrooms, and dressing. Toss to combine. Optionally top with Almond Breadcrumbs "
No-Shrimp Bowl w/ Thai Peanut Sauce,Prep+Cooking time: 45  minutes  Servings: 2,NO-SHRIMP 4-8 oz Lions Mane Mushrooms ½ cup aquafaba ½ cup almond flour 1 tbsp ground flax 2 tbsp nutritional yeast ½ tsp salt 1 nori sheet PEANUT SAUCE  1 ½ cups coconut milk 1 cup natural peanut butter (no salt or sugar added) 1-4 tbsp red curry paste ½ cup date paste 4 tbsp coconut aminos ½ cup water VEGGIES ½ cup shredded cabbage 1 cup grated carrot 1 cup of sliced mixed bell peppers 1 cup steamed broccoli 2 cups of cooked millet or quinoa ¼ cup chopped cilantro ¼ cup dry roasted peanuts ,Seed grinder Saucepan Baking Sheet Parchment Paper Mixing Bowls ,"PREPARE THE NO-SHRIMP Break Lions Mane mushrooms into small shrimp size pieces and set them aside.  Mix all dry ingredients in a bowl (except for nori) and mix. In a grinder, process the nori sheet into flakes.  Add to dry ingredients and mix. Set aside the mixture.  In a separate bowl pour the liquid from some drained chickpeas into a bowl and set it aside.  Preheat oven to 375F. Line a baking sheet with parchment paper.  Begin breading Lions Mane pieces by dipping them in aquafaba and then the dry mixture. Place on a parchment-lined baking sheet.  Continue the process until all pieces are nicely breaded. Bake for 30-40 minutes, flipping halfway through. PREPARE THE SAUCE Add coconut milk and curry paste to the saucepan. Warm until coconut milk melts. Whisk in peanut butter, date paste, coconut aminos, and water. *add more or less water to adjust the consistency of the sauce. ASSEMBLE THE BOWL Add millet or quinoa to a bowl. Top with breaded shrimp and your favorite veggies. Generously pour peanut sauce. Sprinkle with chopped oil-free roasted peanuts and fresh cilantro. Enjoy! "
Greek Salad W/ Fresh Fig Dressing,Prep+Cooking time: 20  minutes  Servings: 2,VEGGIES 1 English cucumber diced ½ medium red onion sliced 1 pint of cherry tomatoes  ¼ cup Kalamata olives Dressing 4 fresh figs (can sub dried) 1 date (omit if using dried figs) ¼ cup balsamic vinegar ½ cup water ¼ cup walnuts or pecans ½ tsp dried oregano Note:  You may sub dried figs for fresh figs.  If using dried figs omit the dates. ,Knife High-Speed Blender Mixing Bowls ,Combine chopped veggies in a bowl. Combine all ingredients in a high-speed blender. Blend until smooth. Add to your veggies. Enjoy! 
